CatalogueNo,Species ,Individual,Date,Season,State,SL,PreyAbd,Emp,Dip,Tric,Chironomidae,Simuliidae,Tipulidae ,Blepharicerida ,Diptera_Other,%Emp,%Dip,%Tric,%Chironamidae,%Simuliidae,%Tipulidae ,%Blepharicerida ,%Diptera_Other
APPSU 28388,2,6,5/22/2015,1,2,31,20,0,10,0,4,1,5,0,0,0,50,0,20,5,25,0,0
APPSU 28388,2,9,5/22/2015,1,2,33,2,0,1,0,0,0,1,0,0,0,50,0,0,0,50,0,0
UA 35649.01,2,4,7/19/2018,2,2,35,10,2,2,4,1,1,0,0,0,20,20,40,10,10,0,0,0
APPSU 28578,2,8,10/15/2015,2,2,38,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
APPSU 28388,2,10,5/22/2015,1,2,38,3,1,1,0,1,0,0,0,0,33.33333333,33.33333333,0,33.33333333,0,0,0,0
UA 19857.01,2,5,5/15/2017,1,2,39,6,2,2,0,2,0,0,0,0,33.33333333,33.33333333,0,33.33333333,0,0,0,0
APPSU 28795,2,8,3/24/2016,1,2,39,19,1,9,0,6,1,2,0,0,5.263157895,47.36842105,0,31.57894737,5.263157895,10.52631579,0,0
APPSU 28795,2,4,3/24/2016,1,2,40,30,0,15,0,11,0,4,0,0,0,50,0,36.66666667,0,13.33333333,0,0
UA 19837.01,2,4,5/17/2017,1,2,41,19,1,4,10,2,0,2,0,0,5.263157895,21.05263158,52.63157895,10.52631579,0,10.52631579,0,0
APPSU 28795,2,6,3/24/2016,1,2,42,5,0,1,3,1,0,0,0,0,0,20,60,20,0,0,0,0
APPSU 28388,2,4,5/22/2015,1,2,42,5,5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
UA 35649.01,2,3,7/19/2018,2,2,42,15,2,5,3,4,1,0,0,0,13.33333333,33.33333333,20,26.66666667,6.666666667,0,0,0
UA 19857.01,2,4,5/15/2017,1,2,43,7,7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
APPSU 28795,2,1,3/24/2016,1,2,44,17,1,6,4,3,0,2,0,1,5.882352941,35.29411765,23.52941176,17.64705882,0,11.76470588,0,5.882352941
APPSU 28388,2,2,5/22/2015,1,2,44,32,4,14,0,13,0,1,0,0,12.5,43.75,0,40.625,0,3.125,0,0
UA 35649.01,2,2,7/19/2018,2,2,45,2,1,0,1,0,0,0,0,0,50,0,50,0,0,0,0,0
APPSU 28795,2,7,3/24/2016,1,2,45,20,1,9,1,9,0,0,0,0,5,45,5,45,0,0,0,0
APPSU 28388,2,1,5/22/2015,1,2,45,60,7,26,1,24,2,0,0,0,11.66666667,43.33333333,1.666666667,40,3.333333333,0,0,0
UA 19857.01,2,3,5/15/2017,1,2,46,18,18,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
APPSU 28578,2,1,10/15/2015,2,2,47,2,0,1,0,1,0,0,0,0,0,50,0,50,0,0,0,0
UA 19857.01,2,2,5/15/2017,1,2,47,31,15,8,0,8,0,0,0,0,48.38709677,25.80645161,0,25.80645161,0,0,0,0
APPSU 28795,2,5,3/24/2016,1,2,48,9,1,4,0,2,0,2,0,0,11.11111111,44.44444444,0,22.22222222,0,22.22222222,0,0
APPSU 28578,2,3,10/15/2015,2,2,49,2,0,0,2,0,0,0,0,0,0,0,100,0,0,0,0,0
APPSU 28795,2,2,3/24/2016,1,2,50,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
APPSU 28795,2,3,3/24/2016,1,2,50,13,0,6,1,5,0,1,0,0,0,46.15384615,7.692307692,38.46153846,0,7.692307692,0,0
UA 19837.01,2,3,5/17/2017,1,2,54,12,6,3,0,2,1,0,0,0,50,25,0,16.66666667,8.333333333,0,0,0
UA 35649.01,2,1,7/19/2018,2,2,55,6,3,0,3,0,0,0,0,0,50,0,50,0,0,0,0,0
UA 19837.01,2,1,5/17/2017,1,2,57,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
UA 19857.01,2,1,5/15/2017,1,2,58,9,8,0,1,0,0,0,0,0,88.88888889,0,11.11111111,0,0,0,0,0
UA 19837.01,2,2,5/17/2017,1,2,60,2,1,0,1,0,0,0,0,0,50,0,50,0,0,0,0,0
